,player_id,season,team_x,tournament,apps,mins,goals,assists,yels,reds,shoots_per_game,pass_success,overall_ratings,tackles,intercepts,fouls,offsides_won,clear,drb,blocks,key_pass,drb_won,fouls_given,offsides_given,dispossessed,turnover,total_pass,crosses,long_pass,Name,team_y,Current Team,Shirt Number,Height,birth_date,Nationality,Positions,rating_1,rating_2,rating_3,rating_4,rating_5,rating_6,rating_7,rating_8,rating_9,rating_10
1,382564,2021/2022,Leeds,EPL,0(6),126,0,,0,0,0.3,75.8,6.23,0.8,,0.2,0,0,0.2,6.23,0.3,0.7,0.2,0,0.3,0.7,11,0,0.2,Crysencio Summerville,,Leeds,10,174cm,30-10-2001,Netherlands,"Attacking Midfielder (Left, Right)",6.66,7.13,6.28,5.95,6.39,6.15,6.73,6.24,6.14,5.92
0,302313,2022/2023,Fulham,EPL,5(14),604,2,,0,0,0.7,71,6.26,0.5,,0.1,0,0.2,0.2,6.26,0.4,0.2,0.7,0.1,0.6,0.5,8.2,0.2,0.1,Dan James,,Fulham,21,171cm,10-11-1997,Wales,"Attacking Midfielder (Centre, Left, Right), Forward",5.91,N/A,6.24,7.29,6.16,6.01,8.11,6.38,5.97,6.17
1,302313,2022/2023,Leeds,EPL,2(2),199,0,,0,0,0.8,67.6,6.44,1.5,,0.5,0,0.5,0.8,6.44,0.3,0.3,1.5,0,0.3,0.8,8.5,0.3,0,Dan James,,Fulham,21,171cm,10-11-1997,Wales,"Attacking Midfielder (Centre, Left, Right), Forward",5.91,N/A,6.24,7.29,6.16,6.01,8.11,6.38,5.97,6.17
2,302313,2021/2022,Man Utd,EPL,2,128,0,,0,0,2,69,6.53,1,,0.5,0,0.5,0,6.53,1,0,0,1,1.5,2,14.5,0,0,Dan James,,Fulham,21,171cm,10-11-1997,Wales,"Attacking Midfielder (Centre, Left, Right), Forward",5.91,N/A,6.24,7.29,6.16,6.01,8.11,6.38,5.97,6.17
3,302313,2021/2022,Leeds,EPL,29(3),2368,4,,7,1,1.6,71.7,6.44,0.8,,0.9,0,0.3,0.4,6.44,0.8,0.7,1.2,0.4,0.7,1.7,13.8,0.2,0.3,Dan James,,Fulham,21,171cm,10-11-1997,Wales,"Attacking Midfielder (Centre, Left, Right), Forward",5.91,N/A,6.24,7.29,6.16,6.01,8.11,6.38,5.97,6.17
4,302313,2020/2021,Man Utd,EPL,11(4),914,3,,3,0,1.1,81.3,6.61,1,,0.9,0,0.3,1,6.61,0.7,0.7,0.9,0.3,0.6,1.4,19.2,0.1,0.1,Dan James,,Fulham,21,171cm,10-11-1997,Wales,"Attacking Midfielder (Centre, Left, Right), Forward",5.91,N/A,6.24,7.29,6.16,6.01,8.11,6.38,5.97,6.17
5,302313,2019/2020,Man Utd,EPL,26(7),2292,3,,4,0,1.3,78.7,6.61,0.6,,0.4,0,0.2,1.2,6.61,0.8,0.8,1.7,0.1,0.9,1.4,21.2,0.5,0.4,Dan James,,Fulham,21,171cm,10-11-1997,Wales,"Attacking Midfielder (Centre, Left, Right), Forward",5.91,N/A,6.24,7.29,6.16,6.01,8.11,6.38,5.97,6.17
0,338275,2022/2023,Leeds,EPL,15(3),1380,0,,7,0,0.6,77.9,6.44,1.5,,1.1,0,1.4,1.1,6.44,0.7,0.6,0.3,0.1,1.3,1.4,31.7,0.2,1.6,Weston McKennie,,Leeds,8,183cm,28-08-1998,USA,"Defender (Centre), Midfielder (Centre, Left, Right)",5.89,6.85,7.03,5.79,6.48,6.52,5.97,6.53,6.36,6.46
0,371012,2022/2023,Leeds,EPL,28(7),2353,1,,2,0,1.2,79.3,6.43,1.3,,0.5,0,0.2,0.8,6.43,1.3,1,1.6,0.2,2.3,2,20.2,0.5,0.2,Brenden Aaronson,,Leeds,7,178cm,22-10-2000,USA,"Attacking Midfielder (Centre, Left, Right)",6.6,6.83,6.72,6.88,6.46,6.09,6.31,6.1,5.94,5.95
0,351252,2022/2023,Leeds,EPL,14(4),1337,1,,5,1,0.1,73.4,6.42,2.6,,1.3,0.3,1.6,1.2,6.42,0.4,0.3,0.4,0,0.5,0.5,27.1,0.2,0.4,Junior Firpo,,Leeds,3,184cm,22-08-1996,Spain,"Defender (Left), Midfielder (Left)",6.92,6.23,6.34,6.05,7.1,6.7,5.35,6.5,6.15,5.48
1,351252,2021/2022,Leeds,EPL,19(5),1716,0,,11,0,0.5,81.4,6.49,2.5,,1.6,0.1,1.3,1.2,6.49,0.9,0.7,0.6,0,0.3,0.7,32.4,0.3,0.9,Junior Firpo,,Leeds,3,184cm,22-08-1996,Spain,"Defender (Left), Midfielder (Left)",6.92,6.23,6.34,6.05,7.1,6.7,5.35,6.5,6.15,5.48
0,380580,2022/2023,Leeds,EPL,34,3060,0,,3,0,0,56.2,6.42,0.1,,0,0,1.5,0.1,6.42,0,0,0.1,0,0,0,24.8,0,3.6,Illan Meslier,,Leeds,1,197cm,02-03-2000,France,Goalkeeper,6.53,6.16,7.12,5.18,6.01,5.72,4.46,6.7,6.5,3.98
1,380580,2021/2022,Leeds,EPL,38,3385,0,,2,0,0,69,6.62,0,,0,0,1.2,0,6.62,0,0.1,0.2,0,0,0.1,29.3,0,4,Illan Meslier,,Leeds,1,197cm,02-03-2000,France,Goalkeeper,6.53,6.16,7.12,5.18,6.01,5.72,4.46,6.7,6.5,3.98
2,380580,2020/2021,Leeds,EPL,35,3150,0,,0,0,0,77.1,6.91,0,,0,0,1.2,0,6.91,0,0,0.3,0,0,0.1,30.9,0,4.8,Illan Meslier,,Leeds,1,197cm,02-03-2000,France,Goalkeeper,6.53,6.16,7.12,5.18,6.01,5.72,4.46,6.7,6.5,3.98
